geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US37243,"37243",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37246,"37246",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US37357,"37357",5139,824,4571,720,4200,706,200,156,53,78,21,27,0,17,0,17,97,65,0,17,97,65,568,475,497,461,0,17,0,17,0,17,0,17,26,31,45,76,42,75,3,7
86000US38401,"38401",61787,1054,57559,1058,47205,1015,8504,596,113,99,221,154,12,19,150,123,1354,394,15,24,1339,394,4228,449,3333,494,18,21,0,29,0,29,7,10,408,209,462,292,192,143,270,270
86000US38451,"38451",4300,680,4212,673,3882,643,115,93,16,25,0,12,0,12,0,12,199,183,0,12,199,183,88,77,64,68,0,12,0,12,0,12,0,12,0,12,24,42,24,42,0,12
86000US38461,"38461",1279,429,1279,429,1195,428,23,43,0,12,0,12,0,12,0,12,61,84,0,12,61,84,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38474,"38474",8389,771,8270,741,7169,673,906,359,0,17,11,18,0,17,0,17,184,152,0,17,184,152,119,128,111,128,0,17,0,17,0,17,0,17,8,12,0,17,0,17,0,17
86000US38476,"38476",1099,427,1099,427,1099,427,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38482,"38482",1635,368,1574,361,1525,338,0,12,0,12,12,20,0,12,0,12,37,61,0,12,37,61,61,89,61,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38483,"38483",5910,595,5748,596,5608,580,31,57,0,17,0,17,0,17,0,17,109,87,0,17,109,87,162,93,153,92,0,17,0,17,0,17,0,17,0,17,9,15,0,17,9,15
86000US38487,"38487",1044,276,1022,277,838,183,113,118,0,12,52,89,0,12,0,12,19,40,0,12,19,40,22,24,22,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38547,"38547",1939,377,1912,380,1884,381,0,12,28,37,0,12,0,12,0,12,0,12,0,12,0,12,27,41,27,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38548,"38548",931,329,931,329,930,330,0,12,1,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38552,"38552",157,86,157,86,157,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38560,"38560",1405,243,1405,243,1307,248,0,12,2,8,61,80,0,12,0,12,35,35,0,12,35,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38563,"38563",3410,459,3410,459,3202,466,140,85,0,12,13,20,0,12,39,61,16,17,0,12,16,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US38567,"38567",685,288,660,291,615,286,0,12,0,12,0,12,0,12,0,12,45,50,0,12,45,50,25,45,0,12,0,12,0,12,0,12,0,12,0,12,25,45,25,45,0,12
86000US38569,"38569",69,48,69,48,69,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
